"aeroport","centralite"
"PVK-Preveza",81
"BDO-Bandung",81
"WUS-Wuyishan",81
"EUG-Eugene",81
"FSC-Figari",81
"HTA-Chita",81
"HLD-Hailar",81
"XFN-Xiangfan",81
"YQR-Regina",81
"GOH-Godthaab",81
"VER-Vera Cruz",81
"MZT-Mazatlan",81
"LYA-Luoyang",81
"VIX-Vitoria",81
"SBN-South Bend",81
"PNR-Pointe-noire",81
"NJC-Nizhnevartovsk",81
"FUG-Fuyang",81
"OUD-Oujda",81
"BZR-Beziers",81
"JAN-Jackson",81
"BLI-Bellingham",81
"UDI-Uberlandia",81
"JNG-Jining",81
"EGC-Bergerac",81
"EGO-Belgorod",81
"ROA-Roanoke VA",81
"ABE-Allentown",81
"SEZ-Mahe",81
"KMQ-Kanazawa",81
"DVO-Davao",81
"TIF-Taif",81
"HIJ-Hiroshima",81
"DJJ-Jayapura",81
"FSD-Sioux Falls",81
"PSR-Pescara",81
"YXE-Saskatoon",81
"DNK-Dnepropetrovsk",81
"CZM-Cozumel",81
"LAE-Nadzab",81
"SRG-Semarang",81
"LKO-Lucknow",81
"HSV-Huntsville",81
"ACY-Atlantic City",81
"NDJ-N'djamena",81
"VAR-Varna",81
"JHG-Jinghonggasa",81
"ISA-Mount Isa",81
"RNS-Rennes",81
"NMA-Namangan",81
"SGF-Springfield",81
"SKT-Sialkot",81
"NOU-Noumea",81
"NKC-Nouakschott",81
"BVC-Boa Vista",78
"RIY-Mukalla",72
"NIM-Niamey",72
"HRK-Kharkov",72
"SSG-Malabo",72
"GEA-Noumea",72
"PAC-Panama",72
"KIH-Kish Island",72
"VRA-Varadero",72
"NJF-Najaf",72
"AMQ-Ambon",72
"HGU-Mount Hagen",72
"MBA-Mombasa",72
"DZA-Dzaoudzi",70
"NWI-Norwich",64
"MDL-Mandalay",64
"MGF-Maringa",64
"LRM-La Romana",64
"LRH-La Rochelle",64
"MID-Merida",64
"VSA-Villahermosa",64
"CIY-Comiso",64
"GBE-Gaberone",64
"WXN-Wanxian",64
"ZAZ-Zaragoza",64
"KUT-Kutaisi",64
"CIT-Chimkent",64
"AJU-Aracaju",64
"CTG-Cartagena",64
"HTY-Hatay",64
"CKY-Conakry",64
"BDA-Bermuda",64
"CGD-Changde",64
"AVL-Asheville",64
"UKB-Kobe",64
"EYW-Key West",64
"JDZ-Jingdezhen",64
"SLY-Salekhard",64
"YXS-Prince George",64
"DOM-Dominica",64
"TGO-Tongliao",64
"HMA-Khanty-Mansiysk",64
"BMI-Bloomington",64
"PSC-Pasco",64
"MUX-Multan",64
"UET-Quetta",64
"ILO-Iloilo",64
"MAR-Maracaibo",64
"BDJ-Banjarmasin",64
"SFJ-Sondrestrom",64
"KRS-Kristiansand",64
"KLO-Kalibo",64
"YYJ-Victoria",64
"FNT-Flint",64
"AAR-Aarhus",64
"GND-Point Salines",64
"TER-Lajes (terceira Island)",64
"STI-Santiago",64
"ASP-Alice Springs",64
"PAD-Paderborn",64
"DSA-Doncaster, Sheffield",64
"ADZ-San Andres Island",64
"ECN-Nicosia",64
"CHA-Chattanooga",64
"OKJ-Okayama",64
"MYJ-Matsuyama",64
"MGA-Managua",64
"EOH-Medellin",64
"CRK-Angeles City",64
"ISU-Sulaymaniyah",64
"RAB-Tokua",64
"JAI-Jaipur",64
"SLZ-Sao Luis",64
"HFT-Hammerfest",63
"MGQ-Mogadishu",56
"MJT-Mytilini",56
"LNZ-Linz",56
"VTZ-Vishakhapatnam",56
"SMI-Samos",56
"JUB-Juba",56
"MDZ-Mendoza",56
"YNB-Yenbo",56
"BME-Broome",56
"ANI-Aniak",56
"ASM-Asmara",56
"NAG-Nagpur",56
"PLM-Palembang",56
"IXE-Mangalore",56
"NBC-Nizhnekamsk",49
"SZZ-Szczecin",49
"RJK-Rijeka",49
"NYM-Nadym",49
"GTF-Great Falls",49
"WEF-Weifang",49
"SPC-Santa Cruz De La Palma",49
"EVE-Harstad/Narvik",49
"ASF-Astrakhan",49
"LPQ-Luang Prabang",49
"MRA-Makale",49
"GUW-Atyrau",49
"MCZ-Maceio",49
"TZX-Trabzon",49
"PKU-Pekanbaru",49
"AGU-Aguascalientes",49
"YQM-Moncton",49
"TUU-Tabuk",49
"YGW-Havre-Saint-Pierre",49
"CJB-Coimbatore",49
"BFJ-Bijie",49
"MAG-Madang",49
"IGU-Foz Do Iguacu",49
"TLH-Tallahassee",49
"DAT-Datong",49
"PBM-Zandery",49
"ATW-Appleton",49
"LDB-Londrina",49
"BJL-Banjul",49
"YMM-Fort Mcmurray",49
"AQG-Anqing",49
"APL-Nampula",49
"ZAH-Zahedan",49
"GWT-Westerland",49
"KMI-Miyazaki",49
"FSZ-St.-pierre",49
"UYN-Yulin",49
"GEO-Georgetown",49
"MFR-Medford",49
"KAN-Kano",49
"IOS-Ilheus",49
"JMU-Jiamusi",49
"LBB-Lubbock",49
"YEV-Inuvik",49
"AAE-Annaba",49
"IAS-Iasi",49
"RAS-Rasht",49
"TKU-Turku",49
"ZNZ-Zanzibar",49
"TDD-Trinidad",49
"MLM-Morelia",49
"NNY-Nanyang",49
"HYN-Huangyan",49
"JGS-Jiayuguan",49
"YBP-Yibin",49
"BSR-Basrah",49
"ISG-Ishigaki",49
"VDS-Vadsø",49
"KLX-Kalamata",49
"CUL-Culiacan",49
"KBR-Kota Bahru",49
"BZN-Bozeman",49
"HSN-Zhoushan",49
"MSO-Missoula",49
"CEE-Cherepovets",49
"LXR-Luxor",49
"RAP-Rapid City",49
"YRL-Red Lake",48
"KSU-Kristiansund",42
"LCE-La Ceiba",42
"LLW-Lilongwe",42
"MAF-Midland",42
"SBH-Gustavia",42
"ALF-Alta",42
"FBM-Lubumashi",42
"LGG-Liege",42
"BRW-Barrow",42
"CBB-Cochabamba",42
"HAH-Moroni",42
"HOG-Holguin",40
"ADQ-Kodiak",40
"SCW-Syktyvkar",36
"POL-Pemba",36
"UKK-Ust Kamenogorsk",36
"MHH-Marsh Harbor",36
"ATQ-Amritsar",36
"KBV-Krabi",36
"TOY-Toyama",36
"ERF-Erfurt",36
"CFE-Clermont-Ferrand",36
"JIQ-Jimma",36
"TET-Tete",36
"FEG-Fergana",36
"RDM-Redmond-Bend",36
"TRC-Torreon",36
"VLN-Valencia",36
"TMM-Toamasina",36
"LCG-La Coruna",36
"PZO-Guayana",36
"BRC-San Carlos De Bariloche",36
"MUR-Marudi",36
"SXR-Srinagar",36
"CHO-Charlottesville VA",36
"ROB-Monrovia",36
"IDR-Indore",36
"GZP-Alanya",36
"YYY-Mont Joli",36
"NKM-Nagoya",36
"BPS-Porto Seguro",36
"SJP-Sao Jose Do Rio Preto",36
"SBW-Sibu",36
"GJT-Grand Junction",36
"SRQ-Sarasota",36
"MOL-Molde",36
"DOY-Dourados",36
"HRL-Harlingen",36
"VOZ-Voronezh",36
"NLA-Ndola",36
"LRR-Lar",36
"HMI-Hami",36
"SBA-Santa Barbara",36
"MUB-Maun",36
"SLU-Castries",36
"CJS-Ciudad Juarez",36
"LAN-Lansing",36
"PBC-Puebla",36
"HME-Hassi Messaoud",36
"KGF-Karaganda",36
"BEW-Beira",36
"SLP-San Luis Potosi",36
"MRY-Monterey",36
"MDG-Mudanjiang",36
"ACK-Nantucket",36
"ILG-Wilmington",36
"YKQ-Yakima",36
"HDG-Handan",36
"MJZ-Mirnyj",36
"INN-Innsbruck",36
"UME-Umea",36
"HKD-Hakodate",36
"YGJ-Miho",36
"LAP-La Paz",36
"ARH-Arkhangelsk",36
"PKN-Pangkalan Bun",36
"KMJ-Kumamoto",36
"TIV-Tivat",36
"YNJ-Yanji",36
"SOQ-Sorong",36
"KIR-Kerry",36
"AKN-King Salmon",36
"JPA-Joao Pessoa",36
"BAQ-Barranquilla",36
"TAI-Taiz",36
"AVP-Scranton",36
"NAO-Nanchong",36
"SLL-Salalah",36
"BON-Kralendijk",36
"THE-Teresina",36
"TAK-Takamatsu",36
"CBR-Canberra",36
"KOE-Kupang",36
"BLA-Barcelona",36
"LUZ-Luxemburg",36
"BGR-Bangor",36
"ROR-Babelthuap",36
